# Source sector: 131 factions defined, 80 hold
# at least one market, 70 dominate at least one system and so colour the map.
# The first two say how heavily modded the save was and how much of that content
# reached the economy; only the third is in the rows below. They are in the file
# name too, so one fixture is told from another without opening it.
#
# Real sector geometry: every star system's hyperspace site, the bloc holding it,
# and that bloc's dominance weight in it. Regenerate with
# scripts/extract-sector-fixture-from-save.py; the save parser is deliberately not part of
# the build, so this file is the fixture's only source and no test opens a save.
#
# The score is the winning faction's summed market size - the dominant term of the
# real DominanceRules weight, not the whole of it. It is here so a test has a
# realistic SPREAD of blocs and strengths to run over, not so a test can assert
# what dominance resolves to; assert that against SystemDominance, never here.
#
# An empty groupKey is an unowned system - uninhabited or decivilised-only - which
# is the frontier case, and 231 of these 366 are one.
#
# The id is the system's name, which the sector does NOT keep unique - a repeat
# carries a #N suffix. The real map keys cells by a unique system id; names are
# used here only so a failure reads as "Askonia" rather than as an opaque handle.
#
# id,x,y,groupKey,score
86 Rn,10000.0,-13000.0,diableavionics,5
99 Es,20000.0,-8000.0,diableavionics,6
Abyssal Depths,-70980.0,-46500.0,,0
Achenar,69723.0,-7558.0,,0
Acheron's Domain,8000.0,-19500.0,,0
Airin,37214.0,-10946.0,,0
Akba Ataci,18413.0,44291.0,,0
Al Gebbar,-9200.0,-7900.0,luddic_path,4
Alatyr,-13640.0,8415.0,eusan_nation,28
Alaugon,-27697.0,11959.0,tll,10
Alexandretta,-8920.0,-12100.0,luddic_church,6
Alicia,45000.0,47000.0,,0
Alpha Centauri,-64220.8,-41908.7,,0
Alpha Conflux,-31751.0,7014.0,,0
Alpha Darwin,43487.0,38067.0,,0
Alpha Didelphis,54072.0,-21704.0,,0
Alpha Giraud,5153.8,-36721.2,,0
Alpha Golgotha,-68124.0,21076.0,,0
Alpha Kiten,66194.0,-4071.0,,0
Alpha Lavoisier,-65347.0,-27733.0,,0
Alpha Mayailurus,-68171.0,-12268.0,,0
Alpha Mazu,-51764.0,36683.0,,0
Alpha Nandinia,47818.0,3769.0,,0
Alpha Newton,-26331.0,-35045.0,,0
Alpha Persei,75150.0,10467.0,,0
Alpha Ramachandran,-7637.0,-29228.0,,0
Alpha Sonora,62435.0,228.0,,0
Alpha Suroclarile,43466.0,-42197.0,,0
Alpha Troano,-40424.0,44867.0,,0
Alpha Ul Quoma,-53667.0,6923.0,,0
Alpha Viverra,52958.0,16704.0,,0
